 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb).............1529


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.084
 Saturated moisture content..........(WCS)............     0.338
 First coefficient...................(ALPHA)..........     0.124
 Second coefficient..................(N)..............     1.850
 Saturated conductivity..............(CONDS).......... .6013E+02
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   145    865.000      0.197       2     1      1.000000
   146    866.000      0.194       2     1      1.000000
   147    867.000      0.192       2     1      1.000000
   148    868.000      0.190       2     1      1.000000
   149    869.000      0.189       2     1      1.000000
   150    870.000      0.187       2     1      1.000000
   151    871.000      0.185       2     1      1.000000
   152    872.000      0.184       2     1      1.000000
   153    873.000      0.185       2     1      1.000000
   154    874.000      0.185       2     1      1.000000
   155    875.000      0.184       2     1      1.000000
   156    876.000      0.181       2     1      1.000000
   157    877.000      0.176       2     1      1.000000
   158    878.000      0.172       2     1      1.000000
   159    879.000      0.169       2     1      1.000000
   160    880.000      0.164       2     1      1.000000
   161    881.000      0.157       2     1      1.000000
   162    882.000      0.149       2     1      1.000000
   163    883.000      0.141       2     1      1.000000
   164    884.000      0.150       2     1      1.000000
   165    885.000      0.202       2     1      1.000000
   166    886.000      0.200       2     1      1.000000
   167    887.000      0.196       2     1      1.000000
   168    888.000      0.194       2     1      1.000000
   169    889.000      0.191       2     1      1.000000
   170    890.000      0.189       2     1      1.000000
   171    891.000      0.187       2     1      1.000000
   172    892.000      0.185       2     1      1.000000
   173    893.000      0.183       2     1      1.000000
   174    894.000      0.182       2     1      1.000000
   175    895.000      0.181       2     1      1.000000
   176    896.000      0.180       2     1      1.000000
   177    897.000      0.180       2     1      1.000000
   178    898.000      0.179       2     1      1.000000
   179    899.000      0.176       2     1      1.000000
   180    900.000      0.170       2     1      1.000000
   181    901.000      0.165       2     1      1.000000
   182    902.000      0.159       2     1      1.000000
   183    903.000      0.153       2     1      1.000000
   184    904.000      0.147       2     1      1.000000
   185    905.000      0.142       2     1      1.000000
   186    906.000      0.137       2     1      1.000000
   187    907.000      0.134       2     1      1.000000
   188    908.000      0.201       2     1      1.000000
   189    909.000      0.210       2     1      1.000000
   190    910.000      0.206       2     1      1.000000
   191    911.000      0.203       2     1      1.000000
   192    912.000      0.200       2     1      1.000000
   193    913.000      0.197       2     1      1.000000
   194    914.000      0.196       2     1      1.000000
   195    915.000      0.194       2     1      1.000000
   196    916.000      0.193       2     1      1.000000
   197    917.000      0.192       2     1      1.000000
   198    918.000      0.190       2     1      1.000000
   199    919.000      0.189       2     1      1.000000
   200    920.000      0.188       2     1      1.000000
   201    921.000      0.187       2     1      1.000000
   202    922.000      0.186       2     1      1.000000
   203    923.000      0.183       2     1      1.000000
   204    924.000      0.179       2     1      1.000000
   205    925.000      0.174       2     1      1.000000
   206    926.000      0.169       2     1      1.000000
   207    927.000      0.162       2     1      1.000000
   208    928.000      0.156       2     1      1.000000
   209    929.000      0.151       2     1      1.000000
   210    930.000      0.149       2     1      1.000000
   211    931.000      0.146       2     1      1.000000
   212    932.000      0.144       2     1      1.000000
   213    933.000      0.143       2     1      1.000000
   214    934.000      0.141       2     1      1.000000
   215    935.000      0.141       2     1      1.000000
   216    936.000      0.140       2     1      1.000000
   217    937.000      0.139       2     1      1.000000
   218    938.000      0.138       2     1      1.000000
   219    939.000      0.138       2     1      1.000000
   220    940.000      0.137       2     1      1.000000
   221    941.000      0.136       2     1      1.000000
   222    942.000      0.136       2     1      1.000000
   223    943.000      0.135       2     1      1.000000
   224    944.000      0.135       2     1      1.000000
   225    945.000      0.136       2     1      1.000000
   226    946.000      0.136       2     1      1.000000
   227    947.000      0.135       2     1      1.000000
   228    948.000      0.134       2     1      1.000000
   229    949.000      0.132       2     1      1.000000
   230    950.000      0.132       2     1      1.000000
   231    951.000      0.133       2     1      1.000000
   232    952.000      0.133       2     1      1.000000
   233    953.000      0.130       2     1      1.000000
   234    954.000      0.126       2     1      1.000000
   235    955.000      0.136       2     1      1.000000
   236    956.000      0.226       2     1      1.000000
   237    957.000      0.216       2     1      1.000000
   238    958.000      0.213       2     1      1.000000
   239    959.000      0.210       2     1      1.000000
   240    960.000      0.207       2     1      1.000000
   241    961.000      0.204       2     1      1.000000
   242    962.000      0.202       2     1      1.000000
   243    963.000      0.200       2     1      1.000000
   244    964.000      0.198       2     1      1.000000
   245    965.000      0.199       2     1      1.000000
   246    966.000      0.212       2     1      1.000000
   247    967.000      0.222       2     1      1.000000
   248    968.000      0.240       2     1      1.000000
   249    969.000      0.236       2     1      1.000000
   250    970.000      0.231       2     1      1.000000
   251    971.000      0.229       2     1      1.000000
   252    972.000      0.227       2     1      1.000000
   253    973.000      0.224       2     1      1.000000
   254    974.000      0.221       2     1      1.000000
   255    975.000      0.219       2     1      1.000000
   256    976.000      0.215       2     1      1.000000
   257    977.000      0.210       2     1      1.000000
   258    978.000      0.206       2     1      1.000000
   259    979.000      0.204       2     1      1.000000
   260    980.000      0.203       2     1      1.000000
   261    981.000      0.201       2     1      1.000000
   262    982.000      0.200       2     1      1.000000
   263    983.000      0.200       2     1      1.000000
   264    984.000      0.199       2     1      1.000000
   265    985.000      0.198       2     1      1.000000
   266    986.000      0.201       2     1      1.000000
   267    987.000      0.205       2     1      1.000000
   268    988.000      0.211       2     1      1.000000
   269    989.000      0.209       2     1      1.000000
   270    990.000      0.208       2     1      1.000000
   271    991.000      0.207       2     1      1.000000
   272    992.000      0.206       2     1      1.000000
   273    993.000      0.204       2     1      1.000000
   274    994.000      0.203       2     1      1.000000
   275    995.000      0.200       2     1      1.000000
   276    996.000      0.197       2     1      1.000000
   277    997.000      0.193       2     1      1.000000
   278    998.000      0.190       2     1      1.000000
   279    999.000      0.187       2     1      1.000000
   280   1000.000      0.182       2     1      1.000000
   281   1001.000      0.175       2     1      1.000000
   282   1002.000      0.169       2     1      1.000000
   283   1003.000      0.162       2     1      1.000000
   284   1004.000      0.159       2     1      1.000000
   285   1005.000      0.156       2     1      1.000000
   286   1006.000      0.155       2     1      1.000000
   287   1007.000      0.154       2     1      1.000000
   288   1008.000      0.153       2     1      1.000000
   289   1009.000      0.153       2     1      1.000000
   290   1010.000      0.153       2     1      1.000000
   291   1011.000      0.152       2     1      1.000000
   292   1012.000      0.152       2     1      1.000000
   293   1013.000      0.152       2     1      1.000000
   294   1014.000      0.151       2     1      1.000000
   295   1015.000      0.151       2     1      1.000000
   296   1016.000      0.152       2     1      1.000000
   297   1017.000      0.152       2     1      1.000000
   298   1018.000      0.152       2     1      1.000000
   299   1019.000      0.157       2     1      1.000000
   300   1020.000      0.237       2     1      1.000000
   301   1021.000      0.222       2     1      1.000000
   302   1022.000      0.215       2     1      1.000000
   303   1023.000      0.210       2     1      1.000000
   304   1024.000      0.205       2     1      1.000000
   305   1025.000      0.200       2     1      1.000000
   306   1026.000      0.194       2     1      1.000000
   307   1027.000      0.190       2     1      1.000000
   308   1028.000      0.188       2     1      1.000000
   309   1029.000      0.187       2     1      1.000000
   310   1030.000      0.186       2     1      1.000000
   311   1031.000      0.186       2     1      1.000000
   312   1032.000      0.185       2     1      1.000000
   313   1033.000      0.184       2     1      1.000000
   314   1034.000      0.184       2     1      1.000000
   315   1035.000      0.183       2     1      1.000000
   316   1036.000      0.182       2     1      1.000000
   317   1037.000      0.183       2     1      1.000000
   318   1038.000      0.183       2     1      1.000000
   319   1039.000      0.183       2     1      1.000000
   320   1040.000      0.183       2     1      1.000000
   321   1041.000      0.183       2     1      1.000000
   322   1042.000      0.182       2     1      1.000000
   323   1043.000      0.181       2     1      1.000000
   324   1044.000      0.181       2     1      1.000000
   325   1045.000      0.177       2     1      1.000000
   326   1046.000      0.172       2     1      1.000000
   327   1047.000      0.168       2     1      1.000000
   328   1048.000      0.164       2     1      1.000000
   329   1049.000      0.159       2     1      1.000000
   330   1050.000      0.153       2     1      1.000000
   331   1051.000      0.145       2     1      1.000000
   332   1052.000      0.141       2     1      1.000000
   333   1053.000      0.138       2     1      1.000000
   334   1054.000      0.136       2     1      1.000000
   335   1055.000      0.135       2     1      1.000000
   336   1056.000      0.134       2     1      1.000000
   337   1057.000      0.133       2     1      1.000000
   338   1058.000      0.133       2     1      1.000000
   339   1059.000      0.133       2     1      1.000000
   340   1060.000      0.132       2     1      1.000000
   341   1061.000      0.132       2     1      1.000000
   342   1062.000      0.132       2     1      1.000000
   343   1063.000      0.131       2     1      1.000000
   344   1064.000      0.192       2     1      1.000000
   345   1065.000      0.220       2     1      1.000000
   346   1066.000      0.211       2     1      1.000000
   347   1067.000      0.206       2     1      1.000000
   348   1068.000      0.202       2     1      1.000000
   349   1069.000      0.198       2     1      1.000000
   350   1070.000      0.193       2     1      1.000000
   351   1071.000      0.188       2     1      1.000000
   352   1072.000      0.182       2     1      1.000000
   353   1073.000      0.173       2     1      1.000000
   354   1074.000      0.163       2     1      1.000000
   355   1075.000      0.161       2     1      1.000000
   356   1076.000      0.159       2     1      1.000000
   357   1077.000      0.157       2     1      1.000000
   358   1078.000      0.155       2     1      1.000000
   359   1079.000      0.154       2     1      1.000000
   360   1080.000      0.153       2     1      1.000000
   361   1081.000      0.151       2     1      1.000000
   362   1082.000      0.150       2     1      1.000000
   363   1083.000      0.149       2     1      1.000000
   364   1084.000      0.148       2     1      1.000000
   365   1085.000      0.148       2     1      1.000000
   366   1086.000      0.147       2     1      1.000000
   367   1087.000      0.147       2     1      1.000000
   368   1088.000      0.146       2     1      1.000000
   369   1089.000      0.146       2     1      1.000000
   370   1090.000      0.145       2     1      1.000000
   371   1091.000      0.143       2     1      1.000000
   372   1092.000      0.140       2     1      1.000000
   373   1093.000      0.137       2     1      1.000000
   374   1094.000      0.135       2     1      1.000000
   375   1095.000      0.133       2     1      1.000000
   376   1096.000      0.129       2     1      1.000000
   377   1097.000      0.126       2     1      1.000000
   378   1098.000      0.123       2     1      1.000000
   379   1099.000      0.122       2     1      1.000000
   380   1100.000      0.120       2     1      1.000000
   381   1101.000      0.120       2     1      1.000000
   382   1102.000      0.128       2     1      1.000000
   383   1103.000      0.132       2     1      1.000000
   384   1104.000      0.133       2     1      1.000000
   385   1105.000      0.133       2     1      1.000000
   386   1106.000      0.132       2     1      1.000000
   387   1107.000      0.131       2     1      1.000000
   388   1108.000      0.129       2     1      1.000000
   389   1109.000      0.128       2     1      1.000000
   390   1110.000      0.126       2     1      1.000000
   391   1111.000      0.124       2     1      1.000000
   392   1112.000      0.123       2     1      1.000000
   393   1113.000      0.129       2     1      1.000000
   394   1114.000      0.235       2     1      1.000000
   395   1115.000      0.233       2     1      1.000000
   396   1116.000      0.221       2     1      1.000000
   397   1117.000      0.216       2     1      1.000000
   398   1118.000      0.212       2     1      1.000000
   399   1119.000      0.209       2     1      1.000000
   400   1120.000      0.203       2     1      1.000000
   401   1121.000      0.197       2     1      1.000000
   402   1122.000      0.197       2     1      1.000000
   403   1123.000      0.198       2     1      1.000000
   404   1124.000      0.195       2     1      1.000000
   405   1125.000      0.193       2     1      1.000000
   406   1126.000      0.192       2     1      1.000000
   407   1127.000      0.191       2     1      1.000000
   408   1128.000      0.190       2     1      1.000000
   409   1129.000      0.191       2     1      1.000000
   410   1130.000      0.190       2     1      1.000000
   411   1131.000      0.189       2     1      1.000000
   412   1132.000      0.188       2     1      1.000000
   413   1133.000      0.188       2     1      1.000000
   414   1134.000      0.188       2     1      1.000000
   415   1135.000      0.188       2     1      1.000000
   416   1136.000      0.188       2     1      1.000000
   417   1137.000      0.188       2     1      1.000000
   418   1138.000      0.187       2     1      1.000000
   419   1139.000      0.184       2     1      1.000000
   420   1140.000      0.179       2     1      1.000000
   421   1141.000      0.174       2     1      1.000000
   422   1142.000      0.169       2     1      1.000000
   423   1143.000      0.165       2     1      1.000000
   424   1144.000      0.160       2     1      1.000000
   425   1145.000      0.154       2     1      1.000000
   426   1146.000      0.148       2     1      1.000000
   427   1147.000      0.141       2     1      1.000000
   428   1148.000      0.138       2     1      1.000000
   429   1149.000      0.135       2     1      1.000000
   430   1150.000      0.168       2     1      1.000000
   431   1151.000      0.217       2     1      1.000000
   432   1152.000      0.212       2     1      1.000000
   433   1153.000      0.210       2     1      1.000000
   434   1154.000      0.208       2     1      1.000000
   435   1155.000      0.207       2     1      1.000000
   436   1156.000      0.206       2     1      1.000000
   437   1157.000      0.205       2     1      1.000000
   438   1158.000      0.203       2     1      1.000000
   439   1159.000      0.202       2     1      1.000000
   440   1160.000      0.202       2     1      1.000000
   441   1161.000      0.201       2     1      1.000000
   442   1162.000      0.200       2     1      1.000000
   443   1163.000      0.197       2     1      1.000000
   444   1164.000      0.192       2     1      1.000000
   445   1165.000      0.186       2     1      1.000000
   446   1166.000      0.181       2     1      1.000000
   447   1167.000      0.176       2     1      1.000000
   448   1168.000      0.170       2     1      1.000000
   449   1169.000      0.163       2     1      1.000000
   450   1170.000      0.155       2     1      1.000000
   451   1171.000      0.148       2     1      1.000000
   452   1172.000      0.143       2     1      1.000000
   453   1173.000      0.141       2     1      1.000000
   454   1174.000      0.139       2     1      1.000000
   455   1175.000      0.138       2     1      1.000000
   456   1176.000      0.137       2     1      1.000000
   457   1177.000      0.136       2     1      1.000000
   458   1178.000      0.136       2     1      1.000000
   459   1179.000      0.135       2     1      1.000000
   460   1180.000      0.134       2     1      1.000000
   461   1181.000      0.134       2     1      1.000000
   462   1182.000      0.133       2     1      1.000000
