

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    48.00000 -0.241232E+01  0.710473E-01 -0.241232E+01  0.710473E-01 -0.168231E+01    -54.450    -50.563    -42.838      48
    49.00000 -0.241232E+01  0.710473E-01 -0.241232E+01  0.710473E-01 -0.169714E+01    -54.985    -51.118    -43.457      49
    50.00000 -0.241232E+01  0.710473E-01 -0.241232E+01  0.710473E-01 -0.171114E+01    -55.513    -51.662    -44.045      50
    51.00000 -0.241232E+01  0.710473E-01 -0.241232E+01  0.710473E-01 -0.172434E+01    -56.032    -52.193    -44.604      51
    52.00000 -0.241232E+01  0.710473E-01 -0.241232E+01  0.710473E-01 -0.173680E+01    -56.541    -52.711    -45.135      52
    53.00000 -0.241232E+01  0.712379E-01 -0.241232E+01  0.712379E-01 -0.174854E+01    -57.037    -53.216    -45.641      53
    54.00000 -0.241232E+01  0.714275E-01 -0.241232E+01  0.714275E-01 -0.175960E+01    -57.560    -53.733    -46.123      54
    55.00000 -0.241232E+01  0.717064E-01 -0.241232E+01  0.717064E-01 -0.177001E+01    -58.056    -54.230    -46.582      55
    56.00000 -0.241232E+01  0.722801E-01 -0.241232E+01  0.722801E-01 -0.177981E+01    -58.559    -54.728    -47.020      56
    57.00000 -0.241232E+01  0.733893E-01 -0.241232E+01  0.733893E-01 -0.178901E+01    -59.100    -55.248    -47.441      57
    58.00000 -0.241232E+01  0.750582E-01 -0.241232E+01  0.750582E-01 -0.179792E+01    -59.719    -55.820    -47.977      58
    59.00000 -0.241232E+01  0.769982E-01 -0.241232E+01  0.769982E-01 -0.180659E+01    -60.422    -56.443    -48.476      59
    60.00000 -0.241232E+01  0.791359E-01 -0.241232E+01  0.791359E-01 -0.181505E+01    -61.191    -57.093    -48.966      60
    61.00000 -0.241232E+01  0.812687E-01 -0.241232E+01  0.812687E-01 -0.182329E+01    -61.992    -57.767    -49.443      61
    62.00000 -0.241232E+01  0.834679E-01 -0.241232E+01  0.834679E-01 -0.183133E+01    -62.761    -58.432    -49.912      62
    63.00000 -0.241232E+01  0.853206E-01 -0.241232E+01  0.853206E-01 -0.183915E+01    -63.528    -59.105    -50.375      63
    64.00000 -0.241232E+01  0.868259E-01 -0.241232E+01  0.868259E-01 -0.184678E+01    -64.163    -59.704    -50.834      64
    65.00000 -0.241232E+01  0.887978E-01 -0.241232E+01  0.887978E-01 -0.185420E+01    -64.704    -60.246    -51.287      65
    66.00000 -0.241232E+01  0.905528E-01 -0.241232E+01  0.905528E-01 -0.186142E+01    -65.397    -60.875    -51.736      66
    67.00000 -0.241232E+01  0.918777E-01 -0.241232E+01  0.918777E-01 -0.186844E+01    -65.976    -61.437    -52.179      67
    68.00000 -0.241232E+01  0.923901E-01 -0.241232E+01  0.923901E-01 -0.187527E+01    -66.440    -61.923    -52.616      68
    69.00000 -0.241232E+01  0.926101E-01 -0.241232E+01  0.926101E-01 -0.188190E+01    -66.666    -62.251    -53.047      69
    70.00000 -0.241232E+01  0.929802E-01 -0.241232E+01  0.929802E-01 -0.188835E+01    -66.867    -62.547    -53.470      70
    71.00000 -0.241232E+01  0.930810E-01 -0.241232E+01  0.930810E-01 -0.189461E+01    -67.142    -62.876    -53.884      71
    72.00000 -0.241232E+01  0.935576E-01 -0.241232E+01  0.935576E-01 -0.190069E+01    -67.341    -63.148    -54.289      72
    73.00000 -0.241232E+01  0.943419E-01 -0.241232E+01  0.943419E-01 -0.190660E+01    -67.703    -63.515    -54.684      73
    74.00000 -0.241232E+01  0.950375E-01 -0.241232E+01  0.950375E-01 -0.191233E+01    -68.134    -63.927    -55.068      74
    75.00000 -0.241232E+01  0.955469E-01 -0.241232E+01  0.955469E-01 -0.191790E+01    -68.526    -64.315    -55.443      75
    76.00000 -0.241232E+01  0.958017E-01 -0.241232E+01  0.958017E-01 -0.192330E+01    -68.864    -64.666    -55.808      76
    77.00000 -0.241232E+01  0.960905E-01 -0.241232E+01  0.960905E-01 -0.192854E+01    -69.127    -64.964    -56.164      77
    78.00000 -0.241232E+01  0.965072E-01 -0.241232E+01  0.965072E-01 -0.193363E+01    -69.419    -65.277    -56.511      78
    79.00000 -0.241232E+01  0.977790E-01 -0.241232E+01  0.977790E-01 -0.193857E+01    -69.747    -65.610    -56.850      79
    80.00000 -0.241232E+01  0.994184E-01 -0.241232E+01  0.994184E-01 -0.194336E+01    -70.346    -66.119    -57.180      80
    81.00000 -0.241232E+01  0.102019E+00 -0.241232E+01  0.102019E+00 -0.194801E+01    -70.983    -66.663    -57.504      81
    82.00000 -0.241232E+01  0.105303E+00 -0.241232E+01  0.105303E+00 -0.195251E+01    -71.915    -67.404    -57.822      82
    83.00000 -0.241232E+01  0.109151E+00 -0.241232E+01  0.109151E+00 -0.195688E+01    -72.953    -68.229    -58.136      83
    84.00000 -0.241232E+01  0.113453E+00 -0.241232E+01  0.113453E+00 -0.196110E+01    -74.119    -69.144    -58.448      84
    85.00000 -0.241232E+01  0.118263E+00 -0.241232E+01  0.118263E+00 -0.196519E+01    -75.352    -70.112    -58.759      85
    86.00000 -0.241232E+01  0.123483E+00 -0.241232E+01  0.123483E+00 -0.196914E+01    -76.805    -70.831    -59.074      86
    87.00000 -0.241232E+01  0.128378E+00 -0.241232E+01  0.128378E+00 -0.197294E+01    -78.557    -71.995    -59.392      87
    88.00000 -0.241232E+01  0.132755E+00 -0.241232E+01  0.132755E+00 -0.197660E+01    -80.102    -73.098    -59.721      88
    89.00000 -0.241232E+01  0.136756E+00 -0.241232E+01  0.136756E+00 -0.198013E+01    -81.398    -74.098    -60.115      89
    90.00000 -0.241232E+01  0.140163E+00 -0.241232E+01  0.140163E+00 -0.198361E+01    -82.511    -75.009    -60.571      90
    91.00000 -0.241232E+01  0.142608E+00 -0.241232E+01  0.142608E+00 -0.198702E+01    -83.335    -75.764    -61.010      91
    92.00000 -0.241232E+01  0.144382E+00 -0.241232E+01  0.144382E+00 -0.199037E+01    -83.725    -76.271    -61.449      92
    93.00000 -0.241232E+01  0.144756E+00 -0.241232E+01  0.144756E+00 -0.199366E+01    -83.871    -76.623    -61.884      93
