

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    48.00000 -0.241232E+01  0.532698E-01 -0.241232E+01  0.532698E-01 -0.169524E+01    -54.178    -51.135    -42.700      48
    49.00000 -0.241232E+01  0.532698E-01 -0.241232E+01  0.532698E-01 -0.171027E+01    -54.731    -51.700    -43.316      49
    50.00000 -0.241232E+01  0.532698E-01 -0.241232E+01  0.532698E-01 -0.172448E+01    -55.275    -52.252    -43.902      50
    51.00000 -0.241232E+01  0.532698E-01 -0.241232E+01  0.532698E-01 -0.173789E+01    -55.808    -52.792    -44.461      51
    52.00000 -0.241232E+01  0.532698E-01 -0.241232E+01  0.532698E-01 -0.175056E+01    -56.329    -53.318    -44.993      52
    53.00000 -0.241232E+01  0.534133E-01 -0.241232E+01  0.534133E-01 -0.176250E+01    -56.835    -53.830    -45.501      53
    54.00000 -0.241232E+01  0.535560E-01 -0.241232E+01  0.535560E-01 -0.177376E+01    -57.362    -54.352    -45.986      54
    55.00000 -0.241232E+01  0.537661E-01 -0.241232E+01  0.537661E-01 -0.178437E+01    -57.862    -54.853    -46.449      55
    56.00000 -0.241232E+01  0.541981E-01 -0.241232E+01  0.541981E-01 -0.179435E+01    -58.366    -55.353    -46.890      56
    57.00000 -0.241232E+01  0.550335E-01 -0.241232E+01  0.550335E-01 -0.180373E+01    -58.898    -55.873    -47.313      57
    58.00000 -0.241232E+01  0.562907E-01 -0.241232E+01  0.562907E-01 -0.181272E+01    -59.493    -56.439    -47.808      58
    59.00000 -0.241232E+01  0.577523E-01 -0.241232E+01  0.577523E-01 -0.182147E+01    -60.149    -57.047    -48.320      59
    60.00000 -0.241232E+01  0.593630E-01 -0.241232E+01  0.593630E-01 -0.182999E+01    -60.847    -57.671    -48.807      60
    61.00000 -0.241232E+01  0.609702E-01 -0.241232E+01  0.609702E-01 -0.183831E+01    -61.582    -58.319    -49.282      61
    62.00000 -0.241232E+01  0.626278E-01 -0.241232E+01  0.626278E-01 -0.184642E+01    -62.286    -58.955    -49.746      62
    63.00000 -0.241232E+01  0.640243E-01 -0.241232E+01  0.640243E-01 -0.185433E+01    -62.987    -59.378    -50.202      63
    64.00000 -0.241232E+01  0.651591E-01 -0.241232E+01  0.651591E-01 -0.186204E+01    -63.577    -59.946    -50.652      64
    65.00000 -0.241232E+01  0.666459E-01 -0.241232E+01  0.666459E-01 -0.186954E+01    -64.085    -60.460    -51.096      65
    66.00000 -0.241232E+01  0.679694E-01 -0.241232E+01  0.679694E-01 -0.187686E+01    -64.722    -61.057    -51.534      66
    67.00000 -0.241232E+01  0.689686E-01 -0.241232E+01  0.689686E-01 -0.188398E+01    -65.263    -61.588    -51.966      67
    68.00000 -0.241232E+01  0.693551E-01 -0.241232E+01  0.693551E-01 -0.189091E+01    -65.703    -62.050    -52.391      68
    69.00000 -0.241232E+01  0.695211E-01 -0.241232E+01  0.695211E-01 -0.189765E+01    -65.944    -62.367    -52.810      69
    70.00000 -0.241232E+01  0.698004E-01 -0.241232E+01  0.698004E-01 -0.190421E+01    -66.166    -62.659    -53.222      70
    71.00000 -0.241232E+01  0.698764E-01 -0.241232E+01  0.698764E-01 -0.191059E+01    -66.456    -62.987    -53.626      71
    72.00000 -0.241232E+01  0.702361E-01 -0.241232E+01  0.702361E-01 -0.191679E+01    -66.683    -63.264    -54.021      72
    73.00000 -0.241232E+01  0.708281E-01 -0.241232E+01  0.708281E-01 -0.192282E+01    -67.050    -63.631    -54.407      73
    74.00000 -0.241232E+01  0.713532E-01 -0.241232E+01  0.713532E-01 -0.192868E+01    -67.474    -64.040    -54.783      74
    75.00000 -0.241232E+01  0.717378E-01 -0.241232E+01  0.717378E-01 -0.193438E+01    -67.864    -64.423    -55.151      75
    76.00000 -0.241232E+01  0.719302E-01 -0.241232E+01  0.719302E-01 -0.193992E+01    -68.205    -64.772    -55.510      76
    77.00000 -0.241232E+01  0.721483E-01 -0.241232E+01  0.721483E-01 -0.194530E+01    -68.481    -65.072    -55.860      77
    78.00000 -0.241232E+01  0.724631E-01 -0.241232E+01  0.724631E-01 -0.195053E+01    -68.781    -65.387    -56.202      78
    79.00000 -0.241232E+01  0.734238E-01 -0.241232E+01  0.734238E-01 -0.195561E+01    -69.111    -65.720    -56.536      79
    80.00000 -0.241232E+01  0.746624E-01 -0.241232E+01  0.746624E-01 -0.196055E+01    -69.671    -66.216    -56.863      80
    81.00000 -0.241232E+01  0.766278E-01 -0.241232E+01  0.766278E-01 -0.196534E+01    -70.262    -66.739    -57.183      81
    82.00000 -0.241232E+01  0.791091E-01 -0.241232E+01  0.791091E-01 -0.196999E+01    -71.097    -67.439    -57.497      82
    83.00000 -0.241232E+01  0.820175E-01 -0.241232E+01  0.820175E-01 -0.197450E+01    -72.017    -68.209    -57.806      83
    84.00000 -0.241232E+01  0.852696E-01 -0.241232E+01  0.852696E-01 -0.197888E+01    -73.034    -69.056    -58.112      84
    85.00000 -0.241232E+01  0.889065E-01 -0.241232E+01  0.889065E-01 -0.198312E+01    -74.099    -69.942    -58.415      85
    86.00000 -0.241232E+01  0.928535E-01 -0.241232E+01  0.928535E-01 -0.198723E+01    -75.244    -70.890    -58.718      86
    87.00000 -0.241232E+01  0.965553E-01 -0.241232E+01  0.965553E-01 -0.199120E+01    -76.514    -71.890    -59.022      87
    88.00000 -0.241232E+01  0.998658E-01 -0.241232E+01  0.998658E-01 -0.199504E+01    -77.779    -72.843    -59.330      88
    89.00000 -0.241232E+01  0.102893E+00 -0.241232E+01  0.102893E+00 -0.199873E+01    -78.827    -73.702    -59.644      89
    90.00000 -0.241232E+01  0.105470E+00 -0.241232E+01  0.105470E+00 -0.200228E+01    -79.731    -74.487    -59.984      90
    91.00000 -0.241232E+01  0.107320E+00 -0.241232E+01  0.107320E+00 -0.200578E+01    -80.395    -75.125    -60.424      91
    92.00000 -0.241232E+01  0.108662E+00 -0.241232E+01  0.108662E+00 -0.200921E+01    -80.704    -75.535    -60.836      92
    93.00000 -0.241232E+01  0.108946E+00 -0.241232E+01  0.108946E+00 -0.201259E+01    -80.815    -75.803    -61.248      93
    94.00000 -0.241232E+01  0.108946E+00 -0.241232E+01  0.108946E+00 -0.201592E+01    -80.428    -75.727    -61.653      94
    95.00000 -0.241232E+01  0.108946E+00 -0.241232E+01  0.108946E+00 -0.201918E+01    -80.057    -75.643    -62.054      95
    96.00000 -0.241232E+01  0.108946E+00 -0.241232E+01  0.108946E+00 -0.202239E+01    -79.778    -75.586    -62.449      96
